time,low,high,open,close,volume
2021-06-02,2552.28,2803.0,2634.46,2706.64,268753.93459884
2021-06-03,2663.02,2890.0,2706.87,2856.68,254235.89167581
2021-06-04,2554.39,2859.85,2856.73,2690.68,294466.9594428
2021-06-05,2552.18,2816.92,2691.13,2629.75,228143.70836692
2021-06-06,2615.0,2745.36,2629.45,2710.97,122420.16649011
2021-06-07,2575.0,2849.15,2710.97,2592.47,267934.37140931
2021-06-08,2306.52,2621.91,2592.47,2509.11,451505.06172677
2021-06-09,2406.33,2628.16,2509.1,2611.27,291643.03769418
2021-06-10,2428.16,2625.0,2611.4,2471.59,181679.49879048
2021-06-11,2322.16,2499.34,2471.59,2355.27,189880.6813896
2021-06-12,2257.07,2452.58,2355.11,2371.49,177293.96771257
2021-06-13,2309.67,2550.0,2371.85,2510.23,172712.48563163
2021-06-14,2461.63,2609.02,2510.22,2582.86,169626.35302782
2021-06-15,2506.23,2640.0,2582.45,2543.58,168529.3479128
2021-06-16,2351.01,2555.0,2543.57,2367.73,178257.28803783
2021-06-17,2306.35,2459.53,2368.24,2373.33,153637.62400874
2021-06-18,2125.12,2377.8,2373.33,2234.47,273328.22658507
2021-06-19,2162.72,2279.0,2234.8,2164.72,162828.91242019
2021-06-20,2042.5,2275.78,2165.13,2242.9,231871.91509491
2021-06-21,1864.5,2259.1,2242.89,1885.67,598655.07269099
2021-06-22,1700.0,1996.67,1885.49,1881.65,620163.37396399
2021-06-23,1823.97,2045.0,1881.24,1968.37,287217.09052056
2021-06-24,1884.77,2035.39,1968.36,1988.81,208623.5990145
2021-06-25,1792.0,2019.39,1988.81,1809.07,370739.74744615
2021-06-26,1717.41,1851.97,1809.07,1829.17,238207.16665611
2021-06-27,1807.89,1988.62,1829.0,1984.71,177413.91064922
2021-06-28,1957.24,2143.67,1984.84,2083.79,278261.98240028
2021-06-29,2074.53,2247.03,2083.99,2166.18,215702.68781407
2021-06-30,2089.16,2288.0,2165.64,2276.72,254873.14574192
2021-07-01,2072.06,2277.44,2276.74,2107.01,240720.57482006
2021-07-02,2017.07,2159.43,2107.75,2156.0,192127.19122379
2021-07-03,2113.18,2239.69,2156.0,2226.95,98666.79185779
2021-07-04,2190.56,2389.22,2227.46,2323.15,126325.73621254
2021-07-05,2160.0,2324.44,2323.27,2197.34,156103.9362224
2021-07-06,2195.02,2350.0,2197.34,2321.84,165693.46720418
2021-07-07,2294.16,2411.19,2322.2,2316.82,159702.0440841
2021-07-08,2084.0,2325.46,2317.64,2116.95,223830.00371273
2021-07-09,2050.0,2189.28,2116.3,2147.38,190883.32617917
2021-07-10,2075.0,2192.98,2147.38,2110.55,116594.48589325
2021-07-11,2081.51,2173.37,2110.56,2140.82,89340.97126887
2021-07-12,2002.0,2169.0,2141.45,2030.72,174561.37955667
2021-07-13,1917.4,2047.72,2030.74,1940.76,217891.77262081
2021-07-14,1865.5,2019.9,1940.34,1994.11,195351.53451543
2021-07-15,1880.0,2039.99,1994.12,1918.07,229477.74435019
2021-07-16,1850.15,1965.35,1918.99,1877.22,184221.68200937
2021-07-17,1847.0,1919.0,1877.22,1899.75,113724.29716977
2021-07-18,1878.67,1994.4,1899.75,1891.46,124679.10845278
2021-07-19,1805.47,1918.65,1891.46,1818.44,191611.5191467
2021-07-20,1718.41,1840.79,1818.45,1786.46,278984.79921803
2021-07-21,1754.27,2033.16,1786.51,1996.18,263702.46075895
2021-07-22,1948.68,2046.74,1996.21,2024.75,196355.49626351
2021-07-23,1995.0,2131.51,2024.75,2125.81,177278.18951605
2021-07-24,2107.13,2200.0,2125.82,2185.95,151102.52474975
2021-07-25,2108.08,2197.05,2186.76,2193.03,129013.98912781
2021-07-26,2172.99,2437.99,2192.38,2228.26,427763.06726806
2021-07-27,2152.0,2321.0,2228.71,2300.59,253782.97390467
2021-07-28,2245.1,2347.88,2300.28,2300.42,205833.21106135
2021-07-29,2267.78,2399.99,2300.76,2383.32,172925.7166805
2021-07-30,2317.51,2474.82,2383.47,2463.9,222140.744211
2021-07-31,2422.31,2555.0,2463.88,2533.74,134549.11974341
2021-08-01,2511.5,2699.0,2533.54,2555.43,260742.0604239
2021-08-02,2503.7,2666.36,2555.99,2608.12,234264.49105555
2021-08-03,2445.58,2633.0,2608.12,2508.31,237814.06443089
2021-08-04,2455.94,2771.42,2508.16,2724.71,250129.62895073
2021-08-05,2530.69,2845.0,2724.71,2829.35,326176.98753449
2021-08-06,2721.0,2949.21,2829.49,2892.98,283374.42059615
2021-08-07,2866.58,3173.72,2892.83,3163.09,299359.36243726
2021-08-08,2948.76,3191.99,3163.09,3014.13,244654.45876056
2021-08-09,2892.5,3190.0,3014.12,3162.34,315853.32665056
2021-08-10,3051.0,3235.1,3162.33,3142.09,223500.03188943
2021-08-11,3122.22,3275.0,3142.18,3162.61,194586.91786387
2021-08-12,2980.0,3239.69,3162.16,3047.21,243214.90148817
2021-08-13,3034.52,3330.0,3047.21,3324.51,190905.3520745
2021-08-14,3206.96,3333.0,3324.51,3266.52,118892.50906903
2021-08-15,3112.96,3323.54,3266.52,3310.93,162311.47927523
2021-08-16,3135.0,3341.47,3311.02,3146.6,177756.89052157
2021-08-17,2992.15,3293.15,3146.6,3011.01,246541.89921532
2021-08-18,2951.0,3126.51,3011.77,3014.38,193245.63285215
2021-08-19,2960.0,3187.48,3014.38,3184.21,161902.28879318
2021-08-20,3178.65,3300.0,3184.32,3286.58,173202.49961989
2021-08-21,3206.96,3311.0,3286.82,3226.73,108432.72740463
2021-08-22,3128.82,3275.0,3226.38,3241.42,98417.87656735
2021-08-23,3233.19,3378.6,3241.41,3323.12,170976.09020067
2021-08-24,3133.45,3360.0,3322.76,3171.52,162665.07930976
2021-08-25,3079.92,3249.0,3170.94,3228.51,138830.69124351
2021-08-26,3056.0,3251.05,3228.51,3093.2,140286.63490594
2021-08-27,3050.0,3283.26,3092.71,3274.67,168913.62309989
2021-08-28,3212.01,3290.51,3275.32,3247.99,72183.42536015
2021-08-29,3153.75,3287.73,3247.99,3226.46,89119.39624772
2021-08-30,3145.45,3349.0,3226.45,3229.01,219625.56218696
2021-08-31,3190.56,3486.8,3229.02,3430.23,320212.11999266
2021-09-01,3384.24,3843.12,3430.0,3829.39,306568.70086335
2021-09-02,3722.65,3838.28,3829.29,3787.97,206168.93909873
2021-09-03,3710.59,4030.35,3788.2,3940.06,284766.1603865
2021-09-04,3834.57,3970.0,3940.06,3887.53,130047.41569531
2021-09-05,3835.7,3982.64,3887.58,3952.17,101339.56157838
2021-09-06,3868.0,3973.27,3951.68,3928.89,111675.62991707
2021-09-07,3009.0,3948.0,3928.72,3436.96,482489.77503547
2021-09-08,3216.0,3562.98,3436.75,3500.34,352658.69072643
2021-09-09,3393.17,3568.59,3499.54,3424.95,244244.24892658
2021-09-10,3142.67,3514.37,3424.32,3209.82,271075.68986114
2021-09-11,3199.88,3349.43,3209.29,3266.77,133373.86127026
2021-09-12,3231.75,3472.99,3266.97,3403.75,133979.51978513
2021-09-13,3111.14,3430.0,3403.81,3286.2,215497.91819641
2021-09-14,3270.74,3439.15,3285.66,3436.29,152957.54148077
2021-09-15,3359.96,3621.15,3436.29,3615.65,157550.50123984
2021-09-16,3482.97,3675.92,3615.68,3568.66,193709.08937556
2021-09-17,3350.06,3595.0,3568.77,3400.0,164813.94731616
2021-09-18,3369.53,3543.0,3400.0,3436.31,129386.37129349
2021-09-19,3278.0,3457.22,3436.59,3328.59,93362.31450909
2021-09-20,2911.81,3346.58,3328.7,2976.48,434236.7826118
2021-09-21,2651.0,3104.82,2976.36,2765.69,441567.8736938
2021-09-22,2738.24,3090.83,2765.33,3078.43,271497.54590784
2021-09-23,3035.83,3182.34,3078.42,3154.62,166485.49300907
2021-09-24,2735.0,3160.48,3154.42,2930.61,365024.83204626
2021-09-25,2800.01,2968.85,2930.59,2924.01,145561.52444175
